iso_code,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_100k,Rate / Age,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
NLD,Netherlands,2020-05-27,45578,133,5856,26,2659.956,7.762,341.759,1.517,,,,,,,,,17134873,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,,,,,,,,,
NOR,Norway,2020-05-27,8364,12,235,0,1542.82,2.214,43.348,0,239864,,44.245,,2403,0.443,people tested,,5421242,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,,,,,,,,,
NPL,Nepal,2020-05-27,772,90,4,0,26.496,3.089,0.137,0,,,,,,,,,29136808,204.43,25,5.809,3.212,2442.804,15,260.797,7.26,9.5,37.8,47.782,0.3,,,,,,,,,
NZL,New Zealand,2020-05-27,1154,0,21,0,239.308,0,4.355,0,,,,,,,,,4822233,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,,,,,,,,,
OMN,Oman,2020-05-27,8118,348,37,0,1589.701,68.147,7.245,0,,,,,,,,,5106622,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,,,,,,,,,
PAK,Pakistan,2020-05-27,59151,1446,1225,28,267.782,6.546,5.546,0.127,499399,8491,2.261,0.038,12164,0.055,tests performed,,220892331,255.573,23.5,4.495,2.78,5034.708,4,423.031,8.35,2.8,36.7,59.607,0.6,,,,,,,,,
PAN,Panama,2020-05-27,11447,264,313,3,2652.982,61.185,72.542,0.695,,,,,,,,,4314768,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,,,,,,,,,
PER,Peru,2020-05-27,129751,5772,3788,159,3935.206,175.058,114.886,4.822,127454,2563,3.866,0.078,2710,0.082,units unclear,,32971846,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,,,,,,,,,
PHL,Philippines,2020-05-27,14669,350,886,13,133.864,3.194,8.085,0.119,,,,,,,,,109581085,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1,,,,,,,,,
PNG,Papua New Guinea,2020-05-27,8,0,0,0,0.894,0,0,0,,,,,,,,,8947027,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,,,,,,,,,
POL,Poland,2020-05-27,22074,443,1024,17,583.249,11.705,27.057,0.449,824774,23021,21.793,0.608,21416,0.566,samples tested,,37846605,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,,,,,,,,,
PRI,Puerto Rico,2020-05-27,3324,64,129,0,1161.897,22.371,45.092,0,,,,,,,,,2860840,376.232,38.2,15.168,9.829,35044.67,,108.094,12.9,,,,,,,,,,,,,
PRT,Portugal,2020-05-27,31007,219,1342,12,3040.884,21.478,131.611,1.177,,,,,,,,,10196707,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30,,3.39,,,,,,,,,
PRY,Paraguay,2020-05-27,877,12,11,0,122.958,1.682,1.542,0,26760,591,3.752,0.083,745,0.104,samples tested,,7132530,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5,21.6,79.602,1.3,,,,,,,,,
PSE,Palestine,2020-05-27,605,3,5,0,118.595,0.588,0.98,0,,,,,,,,,5101416,778.202,20.4,3.043,1.726,4449.898,1,265.91,10.59,,,,,,,,,,,,,
PYF,French Polynesia,2020-05-27,60,0,0,0,213.596,0,0,0,,,,,,,,,280904,77.324,32.7,7.775,4.593,,,,22.63,,,,,,,,,,,,,
